Year,Month,Day,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25
2013,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,21,0.01,0,0.04,0.04,0.09,0.03,0.02,0.06,0.12,0.05,0.11,0.1,0.1,0.07,0.09,0.05,0.1,0.12,0.11,0.07,0.06,0.06,0.05,0.05,0.02
2013,2,22,0.18,0.07,0.22,0.29,0.31,0.15,0.3,0.19,0.21,0.27,0.2,0.22,0.37,0.24,0.21,0.19,0.16,0.26,0.26,0.12,0.25,0.2,0.23,0.2,0.2
2013,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,26,0.35,0.21,0.27,0.5,0.45,0.35,0.51,0.43,0.49,0.69,0.5,0.54,0.57,0.49,0.44,0.34,0.58,0.57,0.56,0.33,0.52,0.46,0.48,0.55,0.51
2013,2,27,0.5,0.38,0.35,0.43,0.39,0.28,0.23,0.18,0.2,0.26,0.2,0.14,0.24,0.2,0.12,0.18,0.15,0.19,0.27,0.08,0.12,0.19,0.2,0.1,0.11
2013,2,28,0.02,0.05,0.03,0.05,0.03,0.03,0.06,0.03,0.05,0.03,0.04,0.03,0.06,0.15,0.04,0.03,0.06,0.06,0.04,0.03,0.05,0.05,0.07,0.07,0.04
2013,3,1,0,0,0.02,0.03,0.02,0,0.03,0.04,0,0.06,0.02,0.01,0.07,0,0,0.02,0.03,0.09,0.06,0,0.07,0.13,0.1,0.07,0.09
2013,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,5,0.44,0.64,0.49,0.56,0.68,0.37,0.53,0.59,0.43,0.6,0.62,0.48,0.54,0.52,0.67,0.58,0.65,0.54,0.57,0.42,0.68,0.59,0.49,0.59,0.48
2013,3,6,0.01,0.02,0.02,0.04,0,0.01,0.04,0.01,0,0,0,0.02,0.04,0.01,0,0.03,0,0.01,0.03,0.03,0.01,0.01,0,0.04,0.01
2013,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,9,0.02,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0,0,0.02,0.01,0.03,0.04,0.04,0.01,0.01,0.02,0,0,0.01
2013,3,10,0.82,0.77,0.9,0.98,0.97,0.99,0.87,1.13,0.97,0.98,1.12,1.02,1.1,1,1.1,1.06,0.99,1.15,0.9,0.96,1.22,0.89,0.81,0.99,0.84
2013,3,11,0.1,0.11,0.1,0.07,0.09,0.06,0.1,0.1,0.04,0.08,0.12,0.06,0.07,0.08,0.11,0.09,0.04,0.07,0.09,0.09,0.1,0.11,0.06,0.09,0.02
2013,3,12,0.05,0.01,0.02,0.04,0.02,0,0.02,0.02,0,0,0,0.02,0.05,0.02,0,0.05,0.09,0.04,0.01,0.03,0.03,0.05,0.01,0.05,0.04
2013,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,15,0.15,0.16,0.16,0.17,0.08,0.1,0.13,0.13,0.14,0.12,0.08,0.15,0.07,0.03,0.03,0.05,0.06,0.1,0.16,0.04,0.05,0.07,0.05,0.08,0.01
2013,3,16,0,0.01,0.02,0.01,0.01,0,0.04,0.01,0.01,0,0.01,0,0.04,0.02,0.03,0,0,0.01,0.02,0,0,0.01,0,0.01,0
2013,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,18,0.06,0.06,0.07,0.06,0.07,0.04,0.05,0.06,0.06,0.06,0.09,0.06,0.02,0.07,0.07,0.09,0.07,0.08,0.04,0.08,0.09,0.07,0.05,0.03,0.07
2013,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,24,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.02,0.02,0.03,0,0,0.04,0.03,0.04,0.02,0.06,0
2013,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,29,0.02,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.02,0,0,0.01,0.03,0,0.05,0,0.02,0
2013,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
